0.032	170	302.79690	-44.2992
0.034	290	280.4653	-32.8883
0.214	-130	25.33945	-18.399915
0.263	-70	133.6101611	-31.3305875
0.275	-185	121.1500395	-21.9761577
0.275	-220	21.1744050	-21.5729360
0.45	200	102.0373262	59.7713817
0.5	290	123.363100	76.007401
0.5	270	104.8513511	68.5608401
0.63	200	136.853181	72.400729
0.8	300	160.254547	78.074587
0.9	-30	142.0918406	40.9001409
0.9	650	241.9607728	64.4184756
0.9	150	315.680349	84.423278
0.9	500	314.5837795	31.9730496
1.0	920	172.1037384	-51.9337526
1.1	450	105.996973	74.287680
1.1	500	93.7216150	-20.7240532
1.4	500	138.32013132	68.8421213
1.7	960	155.0774513	75.0632250
2.0	500	267.711943	79.237651
2.0	850	286.9218091	70.1960685
2.0	800	283.7777978	74.4911308
2.0	1090	295.873082	74.317819
